number,Nanoparticle,Coat,Diameter,Concentration,Zeta_potential,Cells,Human_Animal_cells,Cell_Source,Cell_morphology,tissue_source,Exposure_time,Test,Test_indicator,Biochemical_metric,Interference_checked,Colloidal_stability_checked,Positive_control,χ,∑x,No/∑x,NMetal,MW,Noxygen,q,Cell_viability
138,25,0,30,320,-0.404,8,1,1,1,7,48,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,93.3827
139,25,0,30,640,-0.404,8,1,1,1,7,48,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,83.3999
140,25,0,30,1280,-0.404,8,1,1,1,7,48,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,74.6435
141,25,0,30,80,-0.404,2,1,1,1,2,24,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,86.105
142,25,0,30,160,-0.404,2,1,1,1,2,24,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,90.081
143,25,0,30,320,-0.404,2,1,1,1,2,24,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,89.8869
144,25,0,30,640,-0.404,2,1,1,1,2,24,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,115.9974
145,25,0,30,1280,-0.404,2,1,1,1,2,24,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,102.0919
146,25,0,30,80,-0.404,2,1,1,1,2,24,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,84.6533
147,25,0,30,160,-0.404,2,1,1,1,2,24,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,91.1123
148,25,0,30,320,-0.404,2,1,1,1,2,24,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,86.8708
149,25,0,30,640,-0.404,2,1,1,1,2,24,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,103.6058
150,25,0,30,1280,-0.404,2,1,1,1,2,24,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,85.1874
151,25,0,30,80,-0.404,2,1,1,1,2,48,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,104.5176
152,25,0,30,160,-0.404,2,1,1,1,2,48,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,102.5525
153,25,0,30,320,-0.404,2,1,1,1,2,48,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,101.6916
154,25,0,30,640,-0.404,2,1,1,1,2,48,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,93.9128
